M,theta,beta_lower,beta_upper
7.000000,21.000000,572937.699953,572937.699953
7.000000,22.000000,572937.799113,572937.799113
7.000000,23.000000,572937.891832,572937.891832
7.000000,24.000000,572937.978715,572937.978715
7.000000,25.000000,572938.060296,572938.060296
7.000000,26.000000,572938.137052,572938.137052
7.000000,27.000000,572938.209408,572938.209408
7.000000,28.000000,572938.277746,572938.277746
7.000000,29.000000,572938.342404,572938.342404
7.000000,30.000000,572938.403689,572938.403689
7.000000,31.000000,572938.461874,572938.461874
7.000000,32.000000,572938.517207,572938.517207
7.000000,33.000000,572938.569911,572938.569911
7.000000,34.000000,572938.620186,572938.620186
7.000000,35.000000,572938.668217,572938.668217
7.000000,36.000000,572938.714168,572938.714168
7.000000,37.000000,572938.758191,572938.758191
7.000000,38.000000,572938.800422,572938.800422
7.000000,39.000000,572938.840987,572938.840987
7.000000,40.000000,572938.880001,572938.880001
7.000000,41.000000,572938.917568,572938.917568
7.000000,42.000000,572938.953786,572938.953786
7.000000,43.000000,572938.988742,572938.988742
7.000000,44.000000,572939.022518,572939.022518
7.000000,45.000000,572939.055189,572939.055189
7.000000,46.000000,572939.086825,572939.086825
7.000000,47.000000,572939.117489,572939.117489
7.000000,48.000000,572939.147242,572939.147242
7.000000,49.000000,572939.176139,572939.176139
7.000000,50.000000,572939.204230,572939.204230
7.000000,51.000000,572939.231564,572939.231564
7.000000,52.000000,572939.258185,572939.258185
7.000000,53.000000,572939.284135,572939.284135
7.000000,54.000000,572939.309452,572939.309452
7.000000,55.000000,572939.334174,572939.334174
7.000000,56.000000,572939.358333,572939.358333
7.000000,57.000000,572939.381962,572939.381962
7.000000,58.000000,572939.405091,572939.405091
7.000000,59.000000,572939.427749,572939.427749
7.000000,60.000000,572939.449961,572939.449961
7.000000,61.000000,572939.471754,572939.471754
7.000000,62.000000,572939.493151,572939.493151
7.000000,63.000000,572939.514174,572939.514174
7.000000,64.000000,572939.534845,572939.534845
7.000000,65.000000,572939.555185,572939.555185
7.000000,66.000000,572939.575212,572939.575212
7.000000,67.000000,572939.594945,572939.594945
7.000000,68.000000,572939.614401,572939.614401
7.000000,69.000000,572939.633598,572939.633598
7.000000,70.000000,572939.652551,572939.652551
7.000000,71.000000,572939.671275,572939.671275
7.000000,72.000000,572939.689786,572939.689786
7.000000,73.000000,572939.708097,572939.708097
7.000000,74.000000,572939.726223,572939.726223
7.000000,75.000000,572939.744176,572939.744176
7.000000,76.000000,572939.761969,572939.761969
7.000000,77.000000,572939.779614,572939.779614
7.000000,78.000000,572939.797124,572939.797124
7.000000,79.000000,572939.814510,572939.814510
7.000000,80.000000,572939.831783,572939.831783
7.000000,81.000000,572939.848954,572939.848954
7.000000,82.000000,572939.866035,572939.866035
7.000000,83.000000,572939.883036,572939.883036
7.000000,84.000000,572939.899967,572939.899967
7.000000,85.000000,572939.916838,572939.916838
7.000000,86.000000,572939.933661,572939.933661
7.000000,87.000000,572939.950443,572939.950443
7.000000,88.000000,572939.967197,572939.967197
7.000000,89.000000,572939.983931,572939.983931
8.000000,0.000000,572932.819899,572932.819899
8.000000,1.000000,572933.403868,572933.403868
8.000000,2.000000,572933.937324,572933.937324
8.000000,3.000000,572934.421889,572934.421889
8.000000,4.000000,572934.860025,572934.860025
8.000000,5.000000,572935.254817,572935.254817
8.000000,6.000000,572935.609750,572935.609750
8.000000,7.000000,572935.928480,572935.928480
8.000000,8.000000,572936.214656,572936.214656
8.000000,9.000000,572936.471779,572936.471779
8.000000,10.000000,572936.703121,572936.703121
8.000000,11.000000,572936.911665,572936.911665
8.000000,12.000000,572937.100097,572937.100097
8.000000,13.000000,572937.270800,572937.270800
8.000000,14.000000,572937.425874,572937.425874
8.000000,15.000000,572937.567161,572937.567161
8.000000,16.000000,572937.696267,572937.696267
8.000000,17.000000,572937.814592,572937.814592
8.000000,18.000000,572937.923355,572937.923355
8.000000,19.000000,572938.023615,572938.023615
8.000000,20.000000,572938.116296,572938.116296
8.000000,21.000000,572938.202207,572938.202207
8.000000,22.000000,572938.282049,572938.282049
8.000000,23.000000,572938.356442,572938.356442
8.000000,24.000000,572938.425926,572938.425926
8.000000,25.000000,572938.490978,572938.490978
8.000000,26.000000,572938.552018,572938.552018
8.000000,27.000000,572938.609419,572938.609419
8.000000,28.000000,572938.663509,572938.663509
8.000000,29.000000,572938.714581,572938.714581
8.000000,30.000000,572938.762897,572938.762897
8.000000,31.000000,572938.808689,572938.808689
8.000000,32.000000,572938.852166,572938.852166
8.000000,33.000000,572938.893516,572938.893516
8.000000,34.000000,572938.932907,572938.932907
8.000000,35.000000,572938.970491,572938.970491
8.000000,36.000000,572939.006405,572939.006405
8.000000,37.000000,572939.040774,572939.040774
8.000000,38.000000,572939.073712,572939.073712
8.000000,39.000000,572939.105320,572939.105320
8.000000,40.000000,572939.135692,572939.135692
8.000000,41.000000,572939.164915,572939.164915
8.000000,42.000000,572939.193065,572939.193065
8.000000,43.000000,572939.220216,572939.220216
8.000000,44.000000,572939.246432,572939.246432
8.000000,45.000000,572939.271775,572939.271775
8.000000,46.000000,572939.296300,572939.296300
8.000000,47.000000,572939.320059,572939.320059
8.000000,48.000000,572939.343099,572939.343099
8.000000,49.000000,572939.365466,572939.365466
8.000000,50.000000,572939.387199,572939.387199
8.000000,51.000000,572939.408337,572939.408337
8.000000,52.000000,572939.428916,572939.428916
8.000000,53.000000,572939.448968,572939.448968
8.000000,54.000000,572939.468524,572939.468524
8.000000,55.000000,572939.487613,572939.487613
8.000000,56.000000,572939.506262,572939.506262
8.000000,57.000000,572939.524497,572939.524497
8.000000,58.000000,572939.542340,572939.542340
8.000000,59.000000,572939.559815,572939.559815
8.000000,60.000000,572939.576942,572939.576942
8.000000,61.000000,572939.593742,572939.593742
8.000000,62.000000,572939.610232,572939.610232
8.000000,63.000000,572939.626432,572939.626432
8.000000,64.000000,572939.642356,572939.642356
8.000000,65.000000,572939.658023,572939.658023
8.000000,66.000000,572939.673445,572939.673445
8.000000,67.000000,572939.688639,572939.688639
8.000000,68.000000,572939.703618,572939.703618
8.000000,69.000000,572939.718394,572939.718394
8.000000,70.000000,572939.732980,572939.732980
8.000000,71.000000,572939.747389,572939.747389
8.000000,72.000000,572939.761632,572939.761632
8.000000,73.000000,572939.775720,572939.775720
8.000000,74.000000,572939.789663,572939.789663
8.000000,75.000000,572939.803472,572939.803472
8.000000,76.000000,572939.817157,572939.817157
8.000000,77.000000,572939.830727,572939.830727
8.000000,78.000000,572939.844192,572939.844192
8.000000,79.000000,572939.857560,572939.857560
8.000000,80.000000,572939.870841,572939.870841
8.000000,81.000000,572939.884043,572939.884043
8.000000,82.000000,572939.897175,572939.897175
8.000000,83.000000,572939.910244,572939.910244
8.000000,84.000000,572939.923260,572939.923260
8.000000,85.000000,572939.936229,572939.936229
8.000000,86.000000,572939.949160,572939.949160
8.000000,87.000000,572939.962060,572939.962060
8.000000,88.000000,572939.974938,572939.974938
8.000000,89.000000,572939.987800,572939.987800
